"";"cod_mun";"PIB_PC";"PIB_total";"atvidade_economica"
"186";1502301;8591,87;453985,661;"Administração, defesa, educação e saúde públicas e seguridade social"
"187";1502400;19242,51;3757158,777;"Demais serviços"
"188";1502509;7864,44;181401,248;"Administração, defesa, educação e saúde públicas e seguridade social"
"189";1502608;6721,94;79043,321;"Administração, defesa, educação e saúde públicas e seguridade social"
"190";1502707;12010,94;559361,433;"Administração, defesa, educação e saúde públicas e seguridade social"
"191";1502756;9024,66;292353,806;"Administração, defesa, educação e saúde públicas e seguridade social"
"192";1502764;21036,8;275434,804;"Pecuária, inclusive apoio à pecuária"
"193";1502772;49264,26;859809,183;"Indústrias extrativas"
"194";1502806;18840,76;630977,119;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"195";1502855;8641,05;120940,181;"Administração, defesa, educação e saúde públicas e seguridade social"
"196";1502905;7090,39;276234,33;"Administração, defesa, educação e saúde públicas e seguridade social"
"197";1502939;11706,68;679818,379;"Administração, defesa, educação e saúde públicas e seguridade social"
"198";1502954;10924,03;359313,275;"Administração, defesa, educação e saúde públicas e seguridade social"
"199";1503002;8060,87;56498,624;"Administração, defesa, educação e saúde públicas e seguridade social"
"200";1503044;12642,21;249633,074;"Administração, defesa, educação e saúde públicas e seguridade social"
"201";1503077;9553,41;242303,217;"Administração, defesa, educação e saúde públicas e seguridade social"
"202";1503093;9492,97;373567,457;"Administração, defesa, educação e saúde públicas e seguridade social"
"203";1503101;7104,38;230594,047;"Administração, defesa, educação e saúde públicas e seguridade social"
"204";1503200;8064,49;304458,64;"Administração, defesa, educação e saúde públicas e seguridade social"
"205";1503309;6176,38;376722,091;"Administração, defesa, educação e saúde públicas e seguridade social"
"206";1503408;10068,9;114664,666;"Administração, defesa, educação e saúde públicas e seguridade social"
"207";1503457;8692,03;540965,913;"Administração, defesa, educação e saúde públicas e seguridade social"
"208";1503507;6854,94;217116,411;"Administração, defesa, educação e saúde públicas e seguridade social"
"209";1503606;17971,96;1770651,514;"Demais serviços"
"210";1503705;10811,45;560411,693;"Administração, defesa, educação e saúde públicas e seguridade social"
"211";1503754;40653,91;327629,87;"Administração, defesa, educação e saúde públicas e seguridade social"
"212";1503804;8503,84;489192,025;"Administração, defesa, educação e saúde públicas e seguridade social"
"213";1503903;18567,55;1045817,339;"Indústrias extrativas"
"214";1504000;16120,18;453589,554;"Produção florestal, pesca e aquicultura"
"215";1504059;10012,17;292956,155;"Administração, defesa, educação e saúde públicas e seguridade social"
"216";1504109;9056,52;75314,062;"Administração, defesa, educação e saúde públicas e seguridade social"
"217";1504208;31650,18;8596000,284;"Indústrias extrativas"
"218";1504307;7639,88;219104,255;"Administração, defesa, educação e saúde públicas e seguridade social"
"219";1504406;8030,68;221397,774;"Administração, defesa, educação e saúde públicas e seguridade social"
"220";1504422;13984,01;1787967,214;"Comércio e reparação de veículos automotores e motocicletas"
"221";1504455;18901,74;580774,75;"Agricultura, inclusive apoio à agricultura e a pós colheita"
"222";1504505;6312,82;169795,869;"Administração, defesa, educação e saúde públicas e seguridade social"
